occupancyStatus,vehicleStatus,dateTime,spaceX,spaceY,spaceWidth,spaceHeight
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:25:14,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:25:17,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:25:20,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:25:26,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:25:29,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:25:32,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:25:35,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:25:38,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:25:41,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:25:44,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:25:47,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:25:50,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:25:53,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:25:56,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:25:59,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:26:02,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:26:05,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:26:08,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:26:11,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:26:14,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:26:17,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:26:20,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:26:24,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:26:27,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:26:30,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:26:33,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:26:36,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:26:39,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:26:42,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:26:45,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:26:48,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:26:51,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:26:54,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:26:57,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:27:00,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:27:03,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:27:06,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:27:09,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:27:12,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:27:16,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:27:19,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:27:22,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:27:25,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:27:28,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:27:31,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:27:34,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:27:37,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:27:40,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:27:43,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:27:46,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:27:49,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:27:52,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:27:55,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:27:58,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:28:01,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:28:04,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:28:07,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:28:10,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:28:13,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:28:16,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:28:19,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:28:22,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:28:25,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:28:28,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:28:31,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:28:34,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:28:37,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:28:41,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:28:44,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:28:47,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:28:50,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:28:53,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:28:56,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:28:59,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:29:02,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:29:05,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:29:08,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:29:11,750,370,500,200
SPACE OCCUPIED,CAR IN SPACE,2024-04-11 14:29:14,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:29:17,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:29:20,750,370,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:29:40,700,70,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:29:43,700,70,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:29:46,700,70,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:29:49,700,70,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:29:52,700,70,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:29:55,700,70,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:29:58,700,70,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-11 14:30:01,700,70,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-17 09:02:18,500,70,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-17 09:02:21,500,70,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-17 09:02:24,500,70,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-17 09:02:27,500,70,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-17 09:02:30,500,70,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-17 09:03:04,500,70,700,500
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-17 09:03:07,500,70,700,500
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-17 09:04:22,500,70,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-17 09:04:25,500,70,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-17 09:04:28,500,70,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-17 09:04:31,500,70,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-17 09:04:34,500,70,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-17 09:04:37,500,70,500,200
SPACE OCCUPIED,CAR NOT IN SPACE,2024-04-17 09:04:40,500,70,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-17 09:04:43,500,70,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-17 09:09:23,500,70,500,200
SPACE NOT OCCUPIED,CAR NOT IN SPACE,2024-04-17 09:09:26,500,70,500,200
